,dist_fr,dist_mr
0,0.15617986,0.373923012
1,0.153285249,0.288202148
2,0.221046939,0.585425515
3,0.286455782,0.210299151
4,0.209673674,0.312068978
5,0.227896923,0.28799555
6,0.17042507,0.322078149
7,0.239950815,0.357441271
8,0.180440558,0.21979895
9,0.18535505,0.309312509
10,0.251033369,0.302400085
11,0.176032011,0.22955664
12,0.219618772,0.349422878
13,0.167434691,0.302311944
14,0.184369635,0.607313825
15,0.274599794,0.248611207
16,0.23696225,0.23546094
17,0.243167817,0.190060567
18,0.220684796,0.278546823
19,0.193127211,0.281418775
20,0.195969506,0.357149875
21,0.184505604,0.240813015
22,0.185205108,0.203535037
23,0.177179443,0.199779571
24,0.192200588,0.275072452
25,0.235521723,0.355457325
26,0.191448044,0.34823682
27,0.190301997,0.233236778
28,0.317124641,0.258421064
29,0.245108551,0.340748585
30,0.201784047,0.195943375
31,0.339517972,0.354139197
32,0.386328129,0.274566461
33,0.369168566,0.288114785
34,0.178622322,0.323412268
35,0.187915259,0.302884577
36,0.193173577,0.222712388
37,0.200400467,0.311481877
38,0.238696434,0.271849383
39,0.374473979,0.324243951
40,0.166111306,0.275716242
41,0.261676838,0.263784874
42,0.204719994,0.364280383
43,0.193902668,0.262033974
44,0.210726303,0.217300093
45,0.183866324,0.322033855
46,0.220033555,0.297111295
47,0.304677061,0.379109689
48,0.167337905,0.652003758
49,0.138017218,0.305933836
50,0.228587902,0.231670196
51,0.155728968,0.24816717
52,0.254031727,0.297609568
53,0.179971231,0.292231197
54,0.271823249,0.202185903
55,0.242688441,0.269970803
56,0.21813581,0.326131608
57,0.170327028,0.298767101
58,0.156473934,0.229114207
59,0.384735562,0.444110906
60,0.222375162,0.290212732
61,0.21662931,0.49939922
62,0.204303458,0.253321482
63,0.146565828,0.299160165
64,0.206016484,0.216238746
65,0.234956256,0.195135649
66,0.309029587,0.309911659
67,0.230464298,0.436668081
68,0.267430586,0.266931036
69,0.256870621,0.192061979
70,0.249682647,0.380257911
71,0.229027136,0.274128372
72,0.217946546,0.335545282
73,0.189760835,0.24240671
74,0.165480433,0.236123865
75,0.245451233,0.336267173
76,0.206491697,0.352974829
77,0.229730473,0.316857887
78,0.131768442,0.322806537
79,0.251733905,0.321251743
80,0.215811892,0.279664515
81,0.216806854,0.224528196
82,0.22418452,0.275601099
83,0.173765021,0.328364502
84,0.183863169,0.249784641
85,0.180785068,0.290930316
86,0.196528984,0.240347781
87,0.201115388,0.267930667
88,0.27367882,0.209902916
